0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
52   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/vagrant/centinela/centinela/jetty/contexts at interval 0
93   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/vagrant/centinela/centinela/jetty/contexts/solr.xml
76075 [qtp26960429-45] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/luke params={numTerms=0&_=1400847867077&show=index&wt=json} status=0 QTime=26 
76083 [qtp26960429-44] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1400847866941&contentType=text/html;charset%3Dutf-8} status=404 QTime=62 
76105 [qtp26960429-26] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/ping params={action=status&_=1400847867092&wt=json} status=503 QTime=25 
76116 [qtp26960429-34] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1400847867089} status=0 QTime=38 
76211 [qtp26960429-46] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/system params={_=1400847867086&wt=json} status=0 QTime=141 
76440 [qtp26960429-43] INFO  org.apache.solr.handler.ReplicationHandler  – Commits will be reserved for  10000
76492 [qtp26960429-43] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/replication params={command=details&_=1400847867083&wt=json} status=0 QTime=420 
80489 [qtp26960429-43] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1400847871508&wt=json} status=0 QTime=11 
80682 [qtp26960429-34] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/admin/mbeans params={cat=QUERYHANDLER&_=1400847871686&wt=json} status=0 QTime=2 
80699 [qtp26960429-46] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/dataimport params={indent=true&command=status&_=1400847871693&wt=json} status=0 QTime=22 
80708 [qtp26960429-43] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/dataimport params={indent=true&command=show-config&_=1400847871687} status=0 QTime=24 
82186 [qtp26960429-51] INFO  org.apache.solr.handler.dataimport.DataImporter  – Loading DIH Configuration: data-config.xml
82233 [qtp26960429-51] INFO  org.apache.solr.handler.dataimport.DataImporter  – Data Configuration loaded successfully
82247 [qtp26960429-51] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/dataimport params={optimize=false&indent=true&clean=true&commit=true&verbose=false&command=full-import&debug=false&wt=json} status=0 QTime=66 
82249 [Thread-36] INFO  org.apache.solr.handler.dataimport.DataImporter  – Starting Full Import
82258 [qtp26960429-51] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/dataimport params={indent=true&command=status&_=1400847873311&wt=json} status=0 QTime=1 
82322 [Thread-36] INFO  org.apache.solr.handler.dataimport.SimplePropertiesWriter  – Read dataimport.properties
82396 [Thread-36] INFO  org.apache.solr.core.SolrCore  – [centinela-core] REMOVING ALL DOCUMENTS FROM INDEX
82506 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Creating a connection for entity servidor with URL: jdbc:mysql://localhost:3306/ars_monitor
82855 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Time taken for getConnection(): 348
82901 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Creating a connection for entity entorno with URL: jdbc:mysql://localhost:3306/ars_monitor
82910 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Time taken for getConnection(): 9
82933 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Creating a connection for entity tipo with URL: jdbc:mysql://localhost:3306/ars_monitor
82940 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Time taken for getConnection(): 7
82963 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Creating a connection for entity aplicativo with URL: jdbc:mysql://localhost:3306/ars_monitor
82971 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Time taken for getConnection(): 8
83000 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Creating a connection for entity cliente with URL: jdbc:mysql://localhost:3306/ars_monitor
83206 [Thread-36] INFO  org.apache.solr.handler.dataimport.JdbcDataSource  – Time taken for getConnection(): 206
83715 [qtp26960429-51] INFO  org.apache.solr.core.SolrCore  – [centinela-core] webapp=/solr path=/dataimport params={indent=true&command=status&_=1400847874760&wt=json} status=0 QTime=0 
83806 [Thread-36] INFO  org.apache.solr.handler.dataimport.DocBuilder  – Import completed successfully
